name,type,elementHead,byteLength,scale,offset,unit,maximum,minimum,description,tip
Roll,float,0,4,1.0,0.0,°,180.0,-180.0,横滚角,Roll angle
Pitch,float,4,4,1.0,0.0,°,90.0,-90.0,俯仰角,Pitch angle
Yaw,float,8,4,1.0,0.0,°,180.0,-180.0,偏航角,Yaw angle
AccX,int16,12,2,0.001,0.0,m/s²,16.0,-16.0,X轴加速度,Accelerometer X
AccY,int16,14,2,0.001,0.0,m/s²,16.0,-16.0,Y轴加速度,Accelerometer Y
AccZ,int16,16,2,0.001,0.0,m/s²,16.0,-16.0,Z轴加速度,Accelerometer Z
GyroX,int16,18,2,0.001,0.0,°/s,500.0,-500.0,X轴角速度,Gyroscope X
GyroY,int16,20,2,0.001,0.0,°/s,500.0,-500.0,Y轴角速度,Gyroscope Y
GyroZ,int16,22,2,0.001,0.0,°/s,500.0,-500.0,Z轴角速度,Gyroscope Z
Temperature,int16,24,2,0.01,0.0,°C,85.0,-40.0,温度,Temperature
